Gmt time,Open,High,Low,Close,Volume
25.10.2004 00:00:00.000,8.20500,8.21820,8.20500,8.21650,1037000000
25.10.2004 04:00:00.000,8.21650,8.21870,8.20570,8.20950,2771000000
25.10.2004 08:00:00.000,8.20950,8.22800,8.20920,8.22550,4279000000
25.10.2004 12:00:00.000,8.22550,8.23550,8.22050,8.22930,5456000000
25.10.2004 16:00:00.000,8.22930,8.23450,8.22250,8.23070,3473000000
25.10.2004 20:00:00.000,8.23070,8.23320,8.21700,8.22000,1063000000
26.10.2004 00:00:00.000,8.22000,8.22750,8.22000,8.22320,1661000000
26.10.2004 04:00:00.000,8.22320,8.25350,8.22200,8.24750,5514000000
26.10.2004 08:00:00.000,8.24750,8.25170,8.23350,8.23650,7995000000
26.10.2004 12:00:00.000,8.23650,8.24500,8.20100,8.20100,7605000000
26.10.2004 16:00:00.000,8.20100,8.20200,8.16200,8.18550,2804000000
26.10.2004 20:00:00.000,8.18550,8.19170,8.17600,8.17600,1745000000
27.10.2004 00:00:00.000,8.17600,8.18850,8.17600,8.18850,469000000
27.10.2004 04:00:00.000,8.18850,8.18850,8.16800,8.18150,5094000000
27.10.2004 08:00:00.000,8.18150,8.18950,8.15800,8.16450,10980000000
27.10.2004 12:00:00.000,8.16450,8.16950,8.14220,8.16120,11606000000
27.10.2004 16:00:00.000,8.16120,8.19500,8.16050,8.17600,6491000000
27.10.2004 20:00:00.000,8.17600,8.18470,8.14700,8.17300,976000000
28.10.2004 00:00:00.000,8.17300,8.17400,8.13900,8.17350,950000000
28.10.2004 04:00:00.000,8.17350,8.19350,8.16000,8.16500,5301000000
28.10.2004 08:00:00.000,8.16500,8.20500,8.16300,8.20450,8423000000
28.10.2004 12:00:00.000,8.20450,8.20450,8.14750,8.15100,7905000000
28.10.2004 16:00:00.000,8.15100,8.16000,8.15100,8.15500,4145000000
28.10.2004 20:00:00.000,8.15500,8.16500,8.15100,8.15250,778000000
29.10.2004 00:00:00.000,8.15250,8.15900,8.15250,8.15500,1266000000
29.10.2004 04:00:00.000,8.15600,8.16800,8.15020,8.16770,4815000000
29.10.2004 08:00:00.000,8.16770,8.18150,8.14550,8.14670,9429000000
29.10.2004 12:00:00.000,8.14670,8.15500,8.12200,8.14920,9353000000
29.10.2004 16:00:00.000,8.14920,8.15650,8.13400,8.13650,3928000000
29.10.2004 20:00:00.000,8.13650,8.13650,8.12900,8.13100,988000000
31.10.2004 20:00:00.000,8.13100,8.13750,8.13100,8.13750,60000000
01.11.2004 00:00:00.000,8.13750,8.13750,8.12900,8.12900,302000000
01.11.2004 04:00:00.000,8.12900,8.13650,8.12900,8.13350,1582000000
01.11.2004 08:00:00.000,8.13350,8.14570,8.12850,8.14070,9128000000
01.11.2004 12:00:00.000,8.14070,8.14500,8.09950,8.13220,13613000000
01.11.2004 16:00:00.000,8.13220,8.15670,8.13170,8.15570,5734000000
01.11.2004 20:00:00.000,8.15570,8.16250,8.15200,8.15300,1317000000
02.11.2004 00:00:00.000,8.15300,8.16100,8.15300,8.15950,954000000
02.11.2004 04:00:00.000,8.15950,8.16550,8.13950,8.16250,2289000000
02.11.2004 08:00:00.000,8.16250,8.17050,8.15250,8.16200,6280000000
02.11.2004 12:00:00.000,8.16200,8.18700,8.15910,8.18450,14593000000
02.11.2004 16:00:00.000,8.18500,8.19000,8.17750,8.17870,4978000000
02.11.2004 20:00:00.000,8.17870,8.18100,8.16500,8.16500,1358000000
03.11.2004 00:00:00.000,8.16500,8.17700,8.16500,8.17350,679000000
03.11.2004 04:00:00.000,8.17350,8.17800,8.16400,8.17500,2090000000
03.11.2004 08:00:00.000,8.17500,8.18050,8.16450,8.17750,4694000000
03.11.2004 12:00:00.000,8.17750,8.19850,8.16750,8.17250,9311000000
03.11.2004 16:00:00.000,8.17250,8.17250,8.15400,8.15620,4053000000
03.11.2004 20:00:00.000,8.15620,8.16100,8.14950,8.15250,1359000000
04.11.2004 00:00:00.000,8.15250,8.15400,8.13400,8.14050,1510000000
04.11.2004 04:00:00.000,8.14050,8.14700,8.13150,8.14570,2812000000
04.11.2004 08:00:00.000,8.14570,8.15770,8.14500,8.15000,5432000000
04.11.2004 12:00:00.000,8.15000,8.15800,8.14100,8.15200,9776000000
04.11.2004 16:00:00.000,8.15200,8.17500,8.14300,8.17500,5112000000
04.11.2004 20:00:00.000,8.17500,8.17500,8.11650,8.11650,1255000000
05.11.2004 00:00:00.000,8.11650,8.11650,8.11650,8.11650,0
05.11.2004 04:00:00.000,8.11650,8.11650,8.09900,8.09900,36000000
05.11.2004 08:00:00.000,8.09900,8.09900,8.09900,8.09900,0
05.11.2004 12:00:00.000,8.09900,8.09900,8.09900,8.09900,0
05.11.2004 16:00:00.000,8.09900,8.09900,8.09900,8.09900,0
05.11.2004 20:00:00.000,8.09900,8.09900,8.09900,8.09900,0
08.11.2004 00:00:00.000,8.09900,8.09900,8.09900,8.09900,0
08.11.2004 04:00:00.000,8.09900,8.09900,8.09900,8.09900,0
08.11.2004 08:00:00.000,8.09900,8.09900,8.09900,8.09900,0
08.11.2004 12:00:00.000,8.09900,8.09900,8.09900,8.09900,0
08.11.2004 16:00:00.000,8.09900,8.09900,8.09900,8.09900,0
08.11.2004 20:00:00.000,8.09900,8.09900,8.09900,8.09900,0
09.11.2004 00:00:00.000,8.09900,8.09900,8.09900,8.09900,0
09.11.2004 04:00:00.000,8.09900,8.09900,8.09900,8.09900,0
09.11.2004 08:00:00.000,8.09900,8.09900,8.09900,8.09900,0
09.11.2004 12:00:00.000,8.09900,8.09900,8.09900,8.09900,0
09.11.2004 16:00:00.000,8.09900,8.09900,8.09900,8.09900,0
09.11.2004 20:00:00.000,8.09900,8.09900,8.09900,8.09900,0
10.11.2004 00:00:00.000,8.09900,8.09900,8.09900,8.09900,0
10.11.2004 04:00:00.000,8.09900,8.09900,8.09900,8.09900,0
10.11.2004 08:00:00.000,8.09900,8.09900,8.09900,8.09900,0
10.11.2004 12:00:00.000,8.09900,8.09900,8.09900,8.09900,0
10.11.2004 16:00:00.000,8.09900,8.09900,8.09900,8.09900,0
10.11.2004 20:00:00.000,8.09900,8.16700,8.09900,8.15700,998000000
11.11.2004 00:00:00.000,8.15700,8.15950,8.15700,8.15950,207000000
11.11.2004 04:00:00.000,8.15950,8.16500,8.15550,8.15570,1779000000
11.11.2004 08:00:00.000,8.15570,8.15870,8.13150,8.14500,12378000000
11.11.2004 12:00:00.000,8.14500,8.14800,8.12500,8.13550,9433000000
11.11.2004 16:00:00.000,8.13450,8.15000,8.12920,8.13200,4142000000
11.11.2004 20:00:00.000,8.13200,8.14570,8.12800,8.13700,990000000
12.11.2004 00:00:00.000,8.13700,8.13700,8.12850,8.12950,415000000
12.11.2004 04:00:00.000,8.12950,8.14570,8.12800,8.13700,2532000000
12.11.2004 08:00:00.000,8.13700,8.14700,8.10500,8.10900,13715000000
12.11.2004 12:00:00.000,8.10720,8.12900,8.10450,8.10470,7070000000
12.11.2004 16:00:00.000,8.10470,8.11750,8.09800,8.10300,4260000000
12.11.2004 20:00:00.000,8.10300,8.12250,8.10300,8.11120,957000000
