Gmt time,Open,High,Low,Close,Volume
25.10.2004 00:00:00.000,7.43480,7.43570,7.43470,7.43470,412000000
25.10.2004 04:00:00.000,7.43470,7.43530,7.43430,7.43490,222000000
25.10.2004 08:00:00.000,7.43490,7.43510,7.43440,7.43460,944000000
25.10.2004 12:00:00.000,7.43460,7.43470,7.43420,7.43440,650000000
25.10.2004 16:00:00.000,7.43440,7.43450,7.43410,7.43410,295000000
25.10.2004 20:00:00.000,7.43410,7.43430,7.43170,7.43320,314000000
26.10.2004 00:00:00.000,7.43320,7.43410,7.43320,7.43360,161000000
26.10.2004 04:00:00.000,7.43360,7.43460,7.43360,7.43460,165000000
26.10.2004 08:00:00.000,7.43460,7.43460,7.43420,7.43440,351000000
26.10.2004 12:00:00.000,7.43440,7.43470,7.43430,7.43450,363000000
26.10.2004 16:00:00.000,7.43450,7.43450,7.43410,7.43410,202000000
26.10.2004 20:00:00.000,7.43410,7.43430,7.43370,7.43400,253000000
27.10.2004 00:00:00.000,7.43380,7.43400,7.43380,7.43400,183000000
27.10.2004 04:00:00.000,7.43400,7.43500,7.43380,7.43490,1149000000
27.10.2004 08:00:00.000,7.43490,7.43510,7.43470,7.43490,660000000
27.10.2004 12:00:00.000,7.43490,7.43490,7.43370,7.43390,1350000000
27.10.2004 16:00:00.000,7.43390,7.43450,7.43390,7.43430,766000000
27.10.2004 20:00:00.000,7.43430,7.43430,7.43320,7.43320,290000000
28.10.2004 00:00:00.000,7.43320,7.43330,7.43320,7.43330,171000000
28.10.2004 04:00:00.000,7.43330,7.43450,7.43330,7.43410,926000000
28.10.2004 08:00:00.000,7.43410,7.43420,7.43380,7.43400,315000000
28.10.2004 12:00:00.000,7.43400,7.43400,7.43260,7.43300,575000000
28.10.2004 16:00:00.000,7.43300,7.43350,7.43200,7.43260,1169000000
28.10.2004 20:00:00.000,7.43260,7.43280,7.43200,7.43220,372000000
29.10.2004 00:00:00.000,7.43220,7.43220,7.43220,7.43220,48000000
29.10.2004 04:00:00.000,7.43220,7.43270,7.43180,7.43270,531000000
29.10.2004 08:00:00.000,7.43270,7.43310,7.43230,7.43250,782000000
29.10.2004 12:00:00.000,7.43250,7.43250,7.43060,7.43210,796000000
29.10.2004 16:00:00.000,7.43210,7.43210,7.43050,7.43170,810000000
29.10.2004 20:00:00.000,7.43170,7.43170,7.43160,7.43170,185000000
01.11.2004 00:00:00.000,7.43115,7.43115,7.43015,7.43055,2932899932.8613
01.11.2004 04:00:00.000,7.43077,7.43133,7.42963,7.43114,3256400024.4140997
01.11.2004 08:00:00.000,7.43119,7.43277,7.43095,7.43184,9036599853.5156
01.11.2004 12:00:00.000,7.43226,7.43260,7.43126,7.43203,14071300048.8282
01.11.2004 16:00:00.000,7.43209,7.43247,7.43128,7.43238,9734600280.7617
01.11.2004 20:00:00.000,7.43248,7.43254,7.43095,7.43183,2958600036.621
02.11.2004 00:00:00.000,7.43170,7.43208,7.43130,7.43191,470400005.3406
02.11.2004 04:00:00.000,7.43186,7.43239,7.43140,7.43212,3881099975.586
02.11.2004 08:00:00.000,7.43219,7.43270,7.43180,7.43227,7903500122.0702
02.11.2004 12:00:00.000,7.43245,7.43290,7.43156,7.43246,9765299926.7579
02.11.2004 16:00:00.000,7.43224,7.43268,7.43184,7.43245,3757599945.0683002
02.11.2004 20:00:00.000,7.43211,7.43239,7.43132,7.43175,2942000061.0351
03.11.2004 00:00:00.000,7.43142,7.43205,7.43129,7.43157,926999977.1119
03.11.2004 04:00:00.000,7.43154,7.43256,7.43132,7.43248,4508700073.2422
03.11.2004 08:00:00.000,7.43243,7.43279,7.43181,7.43225,6133399932.8613
03.11.2004 12:00:00.000,7.43223,7.43245,7.43103,7.43165,5939200042.7247
03.11.2004 16:00:00.000,7.43163,7.43426,7.43104,7.43335,24012800537.109398
03.11.2004 20:00:00.000,7.43345,7.43353,7.43100,7.43110,1895400009.1553998
04.11.2004 00:00:00.000,7.43185,7.43225,7.43138,7.43212,1609600006.1035
04.11.2004 04:00:00.000,7.43204,7.43342,7.43188,7.43281,4382100036.621201
04.11.2004 08:00:00.000,7.43297,7.43325,7.43164,7.43265,10004699829.1016
04.11.2004 12:00:00.000,7.43269,7.43297,7.43134,7.43231,11475000244.1406
04.11.2004 16:00:00.000,7.43253,7.43277,7.43150,7.43154,12461800048.8282
