Gmt time,Open,High,Low,Close,Volume
13.03.2007 00:00:00.000,2.01352,2.01352,2.01352,2.01352,0
13.03.2007 04:00:00.000,2.01352,2.01406,2.00846,2.01073,1686000000
13.03.2007 08:00:00.000,2.01060,2.01533,2.00916,2.01460,4240000000
13.03.2007 12:00:00.000,2.01454,2.01947,2.01211,2.01683,10074000000
13.03.2007 16:00:00.000,2.01730,2.02063,2.01373,2.01504,6542000000
13.03.2007 20:00:00.000,2.01506,2.01863,2.01427,2.01642,2146000000
14.03.2007 00:00:00.000,2.01646,2.02416,2.01543,2.02291,1954000000
14.03.2007 04:00:00.000,2.02334,2.02649,2.02104,2.02383,2033000000
14.03.2007 08:00:00.000,2.02431,2.02619,2.02090,2.02619,4240000000
14.03.2007 12:00:00.000,2.02609,2.02940,2.02084,2.02804,10074000000
14.03.2007 16:00:00.000,2.02754,2.03161,2.02557,2.03032,6547000000
14.03.2007 20:00:00.000,2.03004,2.03030,2.02417,2.02813,2146000000
15.03.2007 00:00:00.000,2.02924,2.02955,2.02400,2.02629,1951000000
15.03.2007 04:00:00.000,2.02673,2.02802,2.02353,2.02520,2039000000
15.03.2007 08:00:00.000,2.02504,2.02632,2.02137,2.02581,4240000000
15.03.2007 12:00:00.000,2.02564,2.03071,2.02284,2.02949,10074000000
15.03.2007 16:00:00.000,2.02948,2.02967,2.02370,2.02760,6528000000
15.03.2007 20:00:00.000,2.02768,2.03466,2.02516,2.03389,2085000000
16.03.2007 00:00:00.000,2.03401,2.03579,2.02948,2.03238,1964000000
16.03.2007 04:00:00.000,2.03258,2.03359,2.02758,2.03303,2035000000
16.03.2007 08:00:00.000,2.03312,2.03642,2.02944,2.03162,4240000000
16.03.2007 12:00:00.000,2.03155,2.03553,2.02678,2.02900,10074000000
16.03.2007 16:00:00.000,2.02910,2.03167,2.02667,2.02965,6441000000
16.03.2007 20:00:00.000,2.02910,2.03116,2.02766,2.03049,611000000
18.03.2007 20:00:00.000,2.03107,2.03225,2.02856,2.03222,1378000000
19.03.2007 00:00:00.000,2.03185,2.03264,2.02734,2.02900,1744000000
19.03.2007 04:00:00.000,2.02901,2.02984,2.02409,2.02817,1976000000
19.03.2007 08:00:00.000,2.02797,2.03080,2.02536,2.02681,4240000000
19.03.2007 12:00:00.000,2.02737,2.03082,2.02522,2.02741,10074000000
19.03.2007 16:00:00.000,2.02743,2.03094,2.02500,2.02755,6515000000
19.03.2007 20:00:00.000,2.02707,2.03154,2.02533,2.02937,1973000000
20.03.2007 00:00:00.000,2.02980,2.03107,2.02585,2.02836,1837000000
20.03.2007 04:00:00.000,2.02866,2.03033,2.02650,2.02989,2032000000
20.03.2007 08:00:00.000,2.02933,2.02986,2.02406,2.02727,4240000000
20.03.2007 12:00:00.000,2.02714,2.03061,2.02481,2.02723,10074000000
20.03.2007 16:00:00.000,2.02698,2.03114,2.02539,2.03032,6538000000
20.03.2007 20:00:00.000,2.03014,2.03281,2.02818,2.03132,2133000000
21.03.2007 00:00:00.000,2.03134,2.03134,2.02774,2.02884,1928000000
21.03.2007 04:00:00.000,2.02989,2.03065,2.02620,2.02806,2046000000
21.03.2007 08:00:00.000,2.02799,2.02962,2.02244,2.02380,4240000000
21.03.2007 12:00:00.000,2.02469,2.02626,2.02196,2.02591,10074000000
21.03.2007 16:00:00.000,2.02491,2.03607,2.02368,2.03593,6550000000
21.03.2007 20:00:00.000,2.03559,2.03891,2.02424,2.03558,2131000000
22.03.2007 00:00:00.000,2.03607,2.03617,2.02580,2.03010,1957000000
22.03.2007 04:00:00.000,2.03075,2.03220,2.02458,2.02835,2036000000
22.03.2007 08:00:00.000,2.02711,2.02897,2.02383,2.02681,4240000000
22.03.2007 12:00:00.000,2.02681,2.02760,2.02291,2.02570,10074000000
22.03.2007 16:00:00.000,2.02647,2.02752,2.02097,2.02520,6531000000
22.03.2007 20:00:00.000,2.02490,2.02561,2.02262,2.02469,2064000000
23.03.2007 00:00:00.000,2.02478,2.02499,2.02032,2.02144,1938000000
23.03.2007 04:00:00.000,2.02174,2.02468,2.02033,2.02136,2032000000
23.03.2007 08:00:00.000,2.02104,2.02339,2.01453,2.01953,4240000000
23.03.2007 12:00:00.000,2.01950,2.02798,2.01413,2.01803,10074000000
23.03.2007 16:00:00.000,2.01795,2.01880,2.01367,2.01530,6543000000
